Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SeqList/xmonad/1,3.3531352603396625e-2,3.291028533659197e-2,3.409012437164854e-2,1.2305841165399418e-3,1.0435436568527778e-3,1.6063555980655913e-3
SeqList/xmonad/13,0.15016179802751511,0.14908918446455735,0.15097770695796325,1.3186004323398868e-3,7.169875465537818e-4,2.0165864057099642e-3
SeqList/xmonad/26,0.27153674218182766,0.27050191884239516,0.27282260125502944,1.5049427625351897e-3,6.146728347119608e-4,2.2193075954880064e-3
SeqList/xmonad/40,0.3889109262963757,0.3869712537853047,0.3905144105665386,1.9438059008743424e-3,7.763934855466816e-4,2.3959014168386332e-3
SeqList/xmonad/53,0.4821963469536665,0.47649905015714467,0.49198871763655916,9.4517502021669e-3,1.0424341241606714e-3,1.1923951585196999e-2
SeqList/xmonad/66,0.5530059569864534,0.5509676200454123,0.5545667367987335,2.24207112991539e-3,9.551142575219274e-4,3.1187426022771764e-3
SeqList/xmonad/79,0.610867603099905,0.6099206224316731,0.6117477027000859,1.003806293834082e-3,5.421456880867481e-4,1.4064870463989336e-3
SeqList/xmonad/93,0.6622171977069229,0.6604682251345366,0.6633109506219625,1.692243949403455e-3,7.927622646093369e-4,2.1558823792768916e-3
SeqList/xmonad/106,0.691652733735585,0.6901675631524995,0.6931379043186705,1.8215932419987917e-3,1.0644878881673203e-3,2.2006898061826563e-3
SeqList/xmonad/119,0.7133152585205002,0.7114508119605792,0.7143336502679934,1.8059468947489575e-3,3.446738701313734e-4,2.3518749982229933e-3
SeqList/primitive/1,4.216815876198894e-2,4.146967785709586e-2,4.311502846893547e-2,1.6213243593099416e-3,1.126107308243476e-3,2.1747288043912675e-3
SeqList/primitive/10,0.1699080928729302,0.1689630340822801,0.17130937489053727,1.6514843247615793e-3,1.0570976836579782e-3,2.1889314129665293e-3
SeqList/primitive/19,0.2682863240595907,0.2674309028778225,0.26932928450405597,1.2200306764081532e-3,6.538884198178678e-4,1.6723766333096492e-3
SeqList/primitive/29,0.36537275907661143,0.3644700297930588,0.3663781406939961,1.0572399703397916e-3,5.194521509110928e-4,1.4849523011385463e-3
SeqList/primitive/38,0.4419209753978066,0.43700093775987625,0.44780602562241256,6.753137013963974e-3,3.698134744917498e-4,8.441031672901113e-3
SeqList/primitive/48,0.5174078337537745,0.5120619994898636,0.527968569425866,1.0518251196731658e-2,8.351841870417147e-5,1.2262156986544067e-2
SeqList/primitive/57,0.5936062518157996,0.5745617273496464,0.6306537962518632,3.6719856481584046e-2,8.360942592844367e-4,4.326153875161767e-2
SeqList/primitive/67,0.6280558476573788,0.6131460221949965,0.6572685078135692,2.90208398168655e-2,3.2512501356477333e-4,3.4107641963542226e-2
SeqList/primitive/76,0.646939963917248,0.6456686349119991,0.6487028789706528,1.673255185612487e-3,2.2183870896697044e-5,2.0484468251173635e-3
SeqList/primitive/86,0.6803511381537343,0.6674733117688447,0.701809547492303,2.032027507344527e-2,2.508409895413434e-3,2.603224176371427e-2
SeqList/bst/1,6.37725552643569e-3,6.362153237997491e-3,6.3976234460256295e-3,4.990094133282175e-5,3.187153239518528e-5,7.377033789311265e-5
SeqList/bst/9,4.621706063959964e-2,4.58114951277243e-2,4.731749052026051e-2,1.2380223365064172e-3,8.21032808744431e-5,2.1330288461856037e-3
SeqList/bst/18,8.61029426281577e-2,8.557640755098195e-2,8.761368778767065e-2,1.3661026464190788e-3,4.6390281369758433e-4,2.2547032283659046e-3
SeqList/bst/26,0.11844437302525399,0.11804231199424803,0.11944038226751477,9.220579317804763e-4,1.0477958808752447e-4,1.4162880223810858e-3
SeqList/bst/35,0.1515434813391113,0.14972135827395125,0.15436804987312783,3.195921503592697e-3,2.133217561835762e-3,4.036244332911121e-3
SeqList/bst/44,0.18295733409468085,0.1772754036873165,0.1998439596241547,1.3603959108952133e-2,1.2482159816014013e-4,1.8546276682652907e-2
SeqList/bst/53,0.19987422400671576,0.199470199789438,0.20082980394363403,8.23980548482388e-4,2.26901902360024e-4,1.2208708967744032e-3
SeqList/bst/61,0.21506342429978154,0.21470091970533958,0.21605017388032544,7.674007119275686e-4,1.716918554831319e-4,1.0858381986624719e-3
SeqList/bst/70,0.2264850746296967,0.2261465406588589,0.22728043982448676,6.576437789639303e-4,2.0961348838402407e-4,9.37784878566953e-4
SeqList/bst/79,0.23651268030258102,0.23484367973481615,0.24262057037817109,3.829823248892201e-3,1.3307036416929574e-4,5.2958606170423845e-3
SeqMap/xmonad/1,3.2616867103978683e-3,3.2020517341970357e-3,3.3733485354457806e-3,2.5107957327513784e-4,1.3944792422706528e-4,3.480558139168289e-4
SeqMap/xmonad/13,3.818295689346981e-2,3.791702238188607e-2,3.89022824326496e-2,8.293265140712225e-4,3.86521495527751e-4,1.5082810137002907e-3
SeqMap/xmonad/26,7.583429804836585e-2,7.523126181626281e-2,7.697352576740263e-2,1.370265681647816e-3,6.877541961562189e-4,2.00984276714181e-3
SeqMap/xmonad/40,0.11949155680014796,0.11896034933077837,0.12097869059653021,1.377607284689746e-3,4.2174207216782436e-5,2.1070936632207812e-3
