Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SeqList/xmonad,8.84358004280787e-3,8.673257540717148e-3,9.157897116357894e-3,6.392763954871828e-4,4.359259946936191e-4,8.037131179350198e-4
SeqList/primitive,1.0786248703364743e-2,1.0773428141135256e-2,1.080183829500334e-2,3.5630810453451463e-5,2.8595938008078173e-5,4.733382559886432e-5
SeqList/bst,7.912884163795978e-4,7.839303362992887e-4,8.005211494684043e-4,2.675962739338341e-5,2.263743299353144e-5,2.922728740447533e-5
SeqMap/xmonad,1.1150920186184177e-2,1.1046349963608452e-2,1.1416041140533599e-2,4.2134013504029625e-4,2.164656077018153e-4,6.248583757338244e-4
SeqMap/primitive,1.5776738634380106e-2,1.5754287077279012e-2,1.580920773960936e-2,6.402269947299338e-5,4.57206936759704e-5,8.904805085947713e-5
SeqMap/bst,1.8709465547683997e-3,1.869241655670908e-3,1.872951994664327e-3,6.570917629769845e-6,4.9060721833145905e-6,9.064143091327556e-6
SeqSeq/xmonad,1.2986799247594393e-2,1.2716314086235582e-2,1.3431292828646735e-2,8.977978238394927e-4,6.787987146112806e-4,1.227017756162971e-3
SeqSeq/primitive,1.8099321264826097e-2,1.8081493120976677e-2,1.8133353212068073e-2,5.5857807329526166e-5,3.406911884850056e-5,9.38325191873595e-5
SeqSeq/bst,2.076795065570354e-3,2.0575919624431145e-3,2.1248846918714565e-3,9.723336589989613e-5,4.511475015666065e-5,1.7927716824531523e-4
