Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,6.249881708175656e-3,6.207822349861177e-3,6.283443372867475e-3,1.0998644035104217e-4,7.403627132193345e-5,1.520841314292127e-4
ParCoverage1/primitive,7.331879587455335e-3,7.288647812143308e-3,7.376497569616913e-3,1.2644529677007866e-4,1.1270368014129376e-4,1.4563288416682968e-4
ParCoverage1/bst,2.391723435812565e-3,2.2712643666537025e-3,2.557583407879606e-3,5.406351382151275e-4,3.670593454394106e-4,7.004006933246442e-4
ParCoverage2/xmonad,5.391108887176241e-3,5.372666337067411e-3,5.409279503787329e-3,5.7006770083390254e-5,4.625011548955592e-5,7.747881614534238e-5
ParCoverage2/primitive,7.05420848907543e-3,7.035173014474929e-3,7.07160165709824e-3,5.219714319424958e-5,4.284313822069842e-5,6.772778927150499e-5
ParCoverage2/bst,1.5279973595575538e-3,1.4245867598529167e-3,1.774501778044211e-3,4.833533508144595e-4,1.0863925343689159e-5,8.399624129081534e-4
