Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,6.390404331311303e-3,6.352227295107828e-3,6.426992631079752e-3,1.1270783013399646e-4,9.223010775306109e-5,1.3383275628728902e-4
ParCoverage1/primitive,7.843209439286994e-3,7.825045179983925e-3,7.86709716410506e-3,6.258608952904194e-5,5.0566885098860994e-5,7.591446615374988e-5
ParCoverage1/bst,2.1564694543291523e-3,2.1521350750450556e-3,2.1611370852306763e-3,1.5002149350012005e-5,1.2059385851187274e-5,2.0573295544159398e-5
ParCoverage2/xmonad,5.339186735298936e-3,5.325416195220059e-3,5.351460559511446e-3,4.001921301015027e-5,3.070052399809318e-5,5.047597662126981e-5
ParCoverage2/primitive,7.628884594819481e-3,7.591008764043312e-3,7.666846090842193e-3,1.1392203319516099e-4,9.565464093172989e-5,1.3812920772411917e-4
ParCoverage2/bst,1.3806596638413437e-3,1.3747354487428445e-3,1.3845808491768485e-3,1.5479158314646527e-5,1.2048032783620976e-5,2.181611704691613e-5
