Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,6.080712386136255e-3,6.064753727440167e-3,6.0928769875038535e-3,4.121654224471947e-5,3.3695228155781006e-5,5.142310481380062e-5
ParCoverage1/primitive,8.835522227625452e-3,8.763776929172457e-3,8.909869087630348e-3,1.9266292140850694e-4,1.6602143100862335e-4,2.3231155282057306e-4
ParCoverage1/bst,2.125807101660581e-3,2.1221283945373143e-3,2.128940756311767e-3,1.2470211922242561e-5,1.03487496640769e-5,1.5726391692905353e-5
ParCoverage2/xmonad,6.142958555749041e-3,6.131684562362999e-3,6.15395867678301e-3,3.387939576425337e-5,2.7835541272329455e-5,4.19976463985994e-5
ParCoverage2/primitive,8.47705571878052e-3,8.451173879701394e-3,8.50663457445335e-3,7.668562527215281e-5,5.705716950670067e-5,1.0416656304019802e-4
ParCoverage2/bst,1.3325525905023184e-3,1.3304282185872904e-3,1.334611129266845e-3,6.8466983428512615e-6,5.529542216450016e-6,9.262461424307052e-6
