Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParProject1/xmonad/59,8.260639940303499e-2,8.234901108882493e-2,8.288876857198331e-2,4.876248834717755e-4,3.6070996825897584e-4,6.433159442319182e-4
ParProject1/primitive/43,7.993602675130769e-2,7.936696667068949e-2,8.046698178042702e-2,9.030247312625014e-4,6.435039818633675e-4,1.3140676239194998e-3
ParProject1/bst/39,4.858873069818348e-2,4.8263845798807145e-2,4.914628942690906e-2,7.74200598408057e-4,5.649731369469487e-4,1.04403448126555e-3
ParProject2/xmonad/59,9.19195090717434e-2,9.164754088559045e-2,9.223151115131462e-2,4.544921705538538e-4,3.455353223686759e-4,5.904813708485704e-4
ParProject2/primitive/43,8.845398902719367e-2,8.78974606216486e-2,8.887934807255599e-2,8.365539370925854e-4,3.774712298545899e-4,1.1023526380999015e-3
ParProject2/bst/39,3.520710805508118e-2,3.5039162718164575e-2,3.54307028905336e-2,4.0208306197482926e-4,2.3200937105013252e-4,5.749544142001154e-4
