Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,7.903431115348929e-3,7.86276458119246e-3,7.955765159516395e-3,1.324306974174037e-4,1.0419272744719467e-4,1.5800743945286707e-4
ParCoverage1/primitive,1.1549324869486772e-2,1.1496985853096544e-2,1.1620264926445068e-2,1.5904934877408042e-4,1.2698363897153072e-4,2.048810220821123e-4
ParCoverage1/bst,2.1403064178231136e-3,2.1377720620336022e-3,2.1438708505494204e-3,9.59776666854917e-6,6.664427601951737e-6,1.5814956718567184e-5
ParCoverage2/xmonad,7.998992072892527e-3,7.966388033471548e-3,8.038515934270815e-3,1.0312824564633694e-4,7.65937136845118e-5,1.3634939129669385e-4
ParCoverage2/primitive,1.1277006249768311e-2,1.12232695309483e-2,1.1327271952364772e-2,1.414499019923373e-4,1.2200887773477988e-4,1.5934503319572357e-4
ParCoverage2/bst,1.6168793279110582e-3,1.6134579936971935e-3,1.6195852048412828e-3,1.0543078695476543e-5,8.559900807910624e-6,1.3002339353920673e-5
