Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParProject1/xmonad/59,8.31709024300503e-2,8.276097214159865e-2,8.385136785052184e-2,1.028109380692088e-3,4.1899530624348784e-4,1.805930366481031e-3
ParProject1/primitive/43,8.24540037395329e-2,8.174810140652375e-2,8.366695027798414e-2,1.5588600168207206e-3,4.976357616701065e-4,2.0526510282932423e-3
ParProject1/bst/39,4.8143181851670686e-2,4.78385458925979e-2,4.8480723398179514e-2,6.290174810486925e-4,4.318860326857363e-4,8.978821246134844e-4
ParProject2/xmonad/59,8.14686033310413e-2,8.011133560289939e-2,8.193962400413252e-2,1.3839393262577771e-3,2.04493125764629e-4,2.3061012773983413e-3
ParProject2/primitive/43,8.977064023810691e-2,8.864046002693829e-2,9.208849219838158e-2,2.6740399572990296e-3,1.4829996896466651e-3,4.362287147116681e-3
ParProject2/bst/39,3.2614941614935854e-2,3.2313571407251176e-2,3.30009642783335e-2,8.104863243562407e-4,5.294245128321017e-4,1.2050100811653356e-3
