Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,6.656099429637893e-3,6.643766405336961e-3,6.680195737687204e-3,4.772405440353456e-5,3.460570461075167e-5,7.516637879764393e-5
ParCoverage1/primitive,7.36947051508846e-3,7.337903116308604e-3,7.39627978355682e-3,9.087066086026894e-5,6.863608059020497e-5,1.225903291266999e-4
ParCoverage1/bst,2.1652124897649228e-3,2.1584602969915885e-3,2.170419449832341e-3,1.8469008711996933e-5,1.4221227327798316e-5,2.6760739874144872e-5
ParCoverage2/xmonad,5.120059684533446e-3,5.105482503005975e-3,5.134683265411731e-3,4.3936659649596476e-5,3.6159847303887945e-5,5.373041909952574e-5
ParCoverage2/primitive,7.363956561235924e-3,7.338583983943416e-3,7.393936010703882e-3,7.87341722682593e-5,6.447730556630651e-5,9.879245903720237e-5
ParCoverage2/bst,1.3529241045736784e-3,1.341543113059582e-3,1.3655383166736284e-3,4.2881075122036756e-5,3.4606734759369694e-5,4.9020605930885756e-5
