Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParProject1/xmonad/59,8.472865504334637e-2,8.431191026199876e-2,8.512448814154291e-2,6.501390489106356e-4,4.368719240464921e-4,9.204806723662288e-4
ParProject1/primitive/43,9.509619610224779e-2,9.451921491906691e-2,9.553202917787856e-2,7.979979100366371e-4,4.736117871491225e-4,1.2106286608220573e-3
ParProject1/bst/39,5.137989302031894e-2,5.090503441641257e-2,5.17995565614454e-2,8.462358949245407e-4,5.655530858699868e-4,1.332183502246196e-3
ParProject2/xmonad/59,8.807160577600052e-2,8.66221446929396e-2,8.976649512459214e-2,2.7564456228153567e-3,2.2357664843183464e-3,3.3737770070577777e-3
ParProject2/primitive/43,0.11558994698820503,0.1140318721299991,0.11627117772254028,1.45504374830179e-3,4.951555331946653e-4,2.224265811736391e-3
ParProject2/bst/39,3.993715562599021e-2,3.979231129777207e-2,4.0007290050621216e-2,2.1667456906594634e-4,9.864207676590958e-5,3.6197318805141854e-4
