Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParCoverage1/xmonad,1.2279258289432429e-2,1.226281349954262e-2,1.2308131555573863e-2,5.536878780635969e-5,3.218699321723118e-5,8.668119166772055e-5
ParCoverage1/primitive,1.807241403930461e-2,1.8049981808396055e-2,1.8111500213908106e-2,7.264085059677065e-5,3.881389198560287e-5,1.0647893916803458e-4
ParCoverage1/bst,1.99979845670448e-3,1.9974935727586044e-3,2.0023199018794945e-3,8.078275640932047e-6,6.825261386087343e-6,9.774072347559201e-6
ParCoverage2/xmonad,1.229389248462336e-2,1.228045282151609e-2,1.23119973648551e-2,3.922793950219323e-5,2.9355853600359876e-5,5.3368182037115926e-5
ParCoverage2/primitive,1.8249993864023734e-2,1.812226804738455e-2,1.856153564988209e-2,4.348292958285641e-4,3.053998191757996e-5,8.364587408480235e-4
ParCoverage2/bst,2.036091602062033e-3,2.005788466920236e-3,2.0944511884597133e-3,1.3902894919303076e-4,7.99176051786591e-5,2.0105669952295778e-4
