Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParProject1/xmonad/59,8.637770046088253e-2,8.447538131330576e-2,8.788453300372653e-2,2.9932690085882167e-3,2.1189652116089244e-3,4.332059965829726e-3
ParProject1/primitive/43,7.896273609417091e-2,7.697275859026594e-2,8.161554959369824e-2,4.328549507797044e-3,3.0628289726231904e-3,6.1404577801993186e-3
ParProject1/bst/39,4.7137224903051486e-2,4.6824903918952686e-2,4.751903897298974e-2,7.247270103194627e-4,5.120727015375537e-4,1.025463302705613e-3
ParProject2/xmonad/59,7.274545416045701e-2,7.05487618339752e-2,7.394803044619314e-2,2.7082828881887936e-3,1.4476148425533067e-3,3.6003044096961844e-3
ParProject2/primitive/43,8.488951721091917e-2,8.334228495050902e-2,8.708866604189905e-2,3.0485426377872896e-3,2.0877613637888797e-3,4.245860962412058e-3
ParProject2/bst/39,3.000910461944508e-2,2.9734295939459518e-2,3.0338861748623e-2,6.017073149494182e-4,4.33925266254964e-4,9.377219925857942e-4
