Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Merge1/xmonad/119,0.2981500865270694,0.2951887873932719,0.30008895701418326,3.352209838104411e-3,9.549021834721386e-4,4.655150759360397e-3
Merge1/primitive/86,0.43274164830412093,0.43029693234711885,0.43409084315256524,2.346582325411417e-3,8.204191424215801e-4,3.1158320357543216e-3
Merge1/bst/79,0.1213126112160916,0.11994821376283653,0.1220897227836152,1.6972963422073198e-3,6.25286737531843e-4,2.1769628289055026e-3
Merge2/xmonad/119,1.2069511588973303,1.170744627714157,1.2256351159885526,2.5981536999819838e-2,4.139503455133503e-4,3.2001500940307195e-2
Merge2/primitive/86,0.8218545337828497,0.8143748838920146,0.825905728386715,7.089074553358232e-3,4.151595445970879e-4,8.876448230665345e-3
Merge2/bst/79,0.6452235332108103,0.6376088896067813,0.6523397959535941,9.086553371380193e-3,6.207711548031877e-3,1.088348494772657e-2
Merge3/xmonad/119,2.1494409043419487,2.1181254218875742,2.2088316078297794,5.78800578532853e-2,2.300659629059301e-3,6.97288071066504e-2
Merge3/primitive/86,1.6372876974055544,1.6161102149635553,1.6611231087008491,2.526627964290202e-2,1.2480771869953854e-2,3.5396689425151784e-2
Merge3/bst/79,0.9145115389643858,0.9079761821000526,0.9191321560647339,6.43332402480176e-3,2.736434185256542e-3,8.177450112598189e-3
