Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,8.764815085167767e-4,8.723432229206507e-4,8.854269019934896e-4,1.9041219056515677e-5,9.953196653907064e-6,3.06026074382645e-5
Base/xmonad/13,1.864262316587498e-2,1.8359952224310763e-2,1.9063079353265882e-2,8.049887942597837e-4,6.003046220444918e-4,1.1126449121945463e-3
Base/xmonad/26,4.515687369817236e-2,4.360551574854794e-2,4.7750612718784745e-2,3.8399476042979153e-3,2.3659759167409056e-3,5.043553756038835e-3
Base/xmonad/40,6.979789409178226e-2,6.843570086401453e-2,7.280099592827863e-2,3.248295234499586e-3,6.349572042066739e-4,4.843463402517954e-3
Base/xmonad/53,9.235136624583308e-2,9.092103413379668e-2,9.477007916254593e-2,2.9622740641433495e-3,1.5591605032447605e-3,4.559990787745224e-3
Base/xmonad/66,0.1121921638206697,0.1108475042466385,0.1138662740348926,2.3518102396343477e-3,1.7323167399176714e-3,3.2126990867750696e-3
Base/xmonad/79,0.13534995833205185,0.1331908847884322,0.13871417564673072,4.013679883356913e-3,2.307623063729033e-3,5.844482068125864e-3
Base/xmonad/93,0.1655297961081679,0.16418494598602548,0.16654156582428223,1.7421983258792452e-3,1.3384507719979791e-3,2.541015654754214e-3
Base/xmonad/106,0.1930366426327358,0.19147173083304855,0.1948434185665974,2.2489303483497355e-3,1.6801361020280404e-3,2.977988529292784e-3
Base/xmonad/119,0.2159963202326657,0.21209575382824067,0.22151238055347575,6.3449202063203414e-3,4.410383142088852e-3,8.070824162403711e-3
ParMerge1/xmonad/1,8.90524150531001e-4,8.824373435371322e-4,9.050683493887135e-4,3.7344019861374224e-5,2.550606389736771e-5,5.7256990757684975e-5
ParMerge1/xmonad/13,7.90660667527779e-2,7.707769909588572e-2,8.171705492945919e-2,3.854344409984693e-3,2.899324351649617e-3,5.162848368666546e-3
ParMerge1/xmonad/26,0.2046021338137911,0.1975758559560442,0.21017667847223087,9.082173834276328e-3,6.735892018822534e-3,1.2176416075185506e-2
ParMerge1/xmonad/40,0.37084297679136097,0.36687547350038585,0.3738639251246241,3.998240434140474e-3,1.797146999706456e-3,5.379712568630154e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.9884141893492906e-4,2.948981716007515e-4,3.049706044427049e-4,1.7256899211059534e-5,1.162579377646099e-5,2.2725174444416405e-5
ParMerge2/xmonad/13,6.1664856902933655e-2,6.081429234681713e-2,6.2920668405185e-2,1.928267079890873e-3,1.2441678351046747e-3,2.982347282133436e-3
ParMerge2/xmonad/26,0.22643058970857563,0.21992923112447896,0.23350780866700613,9.9214338385078e-3,8.231910430358477e-3,1.2369940643092528e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,2.8748195091731166e-4,2.8277720628908245e-4,2.946666147129469e-4,1.8902121755727604e-5,1.1713379665129775e-5,2.7193913667694266e-5
Base/xmonad/13,1.446808634687823e-2,1.4291123991804704e-2,1.472468519879056e-2,5.397922178858432e-4,3.597094733650069e-4,7.656668466400032e-4
Base/xmonad/26,3.478283434089094e-2,3.420783099578554e-2,3.595294262672551e-2,1.6904431370563281e-3,6.886768194274025e-4,3.156706688820062e-3
Base/xmonad/40,5.743348144207189e-2,5.677138237900208e-2,5.919602943880212e-2,1.7205256011920051e-3,7.497090559592635e-4,2.922126964216588e-3
Base/xmonad/53,7.467634275937135e-2,7.385264190455755e-2,7.567097427989732e-2,1.6935061214387397e-3,1.1362585805694617e-3,2.302851322863925e-3
Base/xmonad/66,0.10025820512252243,9.871482317414483e-2,0.10221298276937213,2.8194632459012793e-3,1.8731650201206053e-3,3.8276413599911243e-3
Base/xmonad/79,0.11747152494481486,0.11590988045845733,0.11938905926144798,2.5394637960733384e-3,1.8136112825448986e-3,3.6153092239216843e-3
Base/xmonad/93,0.1388118570188243,0.13582364033822913,0.14403850761679066,5.801912354344786e-3,2.957286735113246e-3,8.265083174998708e-3
Base/xmonad/106,0.1678948849237552,0.16186791385291985,0.17477135592759754,9.988564498665833e-3,6.766934051788776e-3,1.3524888043830558e-2
Base/xmonad/119,0.1910741545135655,0.18825063254098495,0.19307992733342363,3.197111044461838e-3,1.9065249057294259e-3,4.349715366684823e-3
ParMerge2/xmonad/1,2.9252911720065774e-4,2.901859891674246e-4,2.967624129644826e-4,1.0329787858909186e-5,7.01201418554079e-6,1.5928912923352176e-5
ParMerge2/xmonad/13,5.852732958022088e-2,5.744679398753557e-2,5.9936483661337636e-2,2.2541408923285786e-3,1.6567294327868962e-3,3.1987378991551537e-3
ParMerge2/xmonad/26,0.23497868546500186,0.23137720470100853,0.23801745018125883,4.469770935804461e-3,2.9851749257640953e-3,6.2161521272197295e-3
ParMerge2/xmonad/40,0.7145671577500252,0.7002598062499601,0.7251806160002161,1.5281695083381739e-2,8.530681048690527e-3,2.1365804535647008e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,2.922535148361238e-4,2.880219848117312e-4,2.987942376848245e-4,1.7467073353582998e-5,1.177796380601025e-5,2.82517511922844e-5
Base/xmonad/13,1.4613010733895452e-2,1.4435000656011651e-2,1.4802958379386104e-2,4.833330951595725e-4,3.322248395050475e-4,6.913789500900319e-4
Base/xmonad/26,3.319310370963861e-2,3.2998817913553684e-2,3.3479173460116744e-2,4.6905122837516015e-4,2.813747344263155e-4,7.068612740557824e-4
Base/xmonad/40,5.7565015772168875e-2,5.657008305881212e-2,5.907700308590494e-2,2.3424465724012325e-3,1.2589460882189672e-3,3.8492843416143233e-3
Base/xmonad/53,7.474223162286048e-2,7.391083133665804e-2,7.530472881684172e-2,1.2423772001264484e-3,8.250814075313959e-4,1.8587878021776737e-3
Base/xmonad/66,9.31528506961107e-2,9.184086540603432e-2,9.530850233190591e-2,2.589114018109157e-3,1.3270303653299146e-3,4.057322589803036e-3
Base/xmonad/79,0.11516457797252076,0.11292821728492138,0.11824967111215301,4.143348920950676e-3,3.2989851072708523e-3,5.321791908157937e-3
